"UniProt_Entry","UniProt_Entry.Name","UniProt_Gene.Names..primary.","UniProt_Protein.names","DVL3.specific","DVL3.wt_ctrl_logFC","DVL3.wt_ctrl_AveExpr","DVL3.wt_ctrl_adj.P.Val","DVL3.wt_ctrl_group","DVL3.STA_ctrl_logFC","DVL3.STA_ctrl_AveExpr","DVL3.STA_ctrl_adj.P.Val","DVL3.STA_ctrl_group","DVL3.STA_DVL3.wt_logFC","DVL3.STA_DVL3.wt_AveExpr","DVL3.STA_DVL3.wt_adj.P.Val","DVL3.STA_DVL3.wt_group"
"A0A087WUV0","ZN892_HUMAN","ZNF892","Zinc finger protein 892","no",-2.44161875718212,13.5080670608384,1.53605812290931e-07,"Down",-2.44161875718212,13.5080670608384,1.75016022756117e-07,"Down",0,13.5080670608384,1,"NS"
"A0A0U1RRE5","NBDY_HUMAN","NBDY","Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)","no",0.87671649998541,20.3338337216984,0.32538082978428,"NS",-0.498371175583824,20.3338337216984,0.586691105379559,"NS",-1.37508767556923,20.3338337216984,0.209273230155033,"NS"
"A0A1W2PQ72","MSD7_HUMAN","MSANTD7","Myb/SANT-like DNA-binding domain-containing protein 7","no",-4.68312960301779,14.1144777276972,9.1556704649618e-11,"Down",-3.89258711455968,14.1144777276972,1.40447913738909e-09,"Down",0.790542488458106,14.1144777276972,0.044193534139733,"NS"
"A0A2Z4LIS9","FXO3B_HUMAN","FOXO3B","Forkhead box protein O3B","no",-2.84079904172902,17.4765128344469,0.00261863636535575,"Down",-1.83041923041983,17.4765128344469,0.0389016978995854,"Down",1.01037981130919,17.4765128344469,0.353064602156609,"NS"
"A0A8I5KTY6","A0A8I5KTY6_HUMAN","ZKSCAN8P1","HCG1646484 (ZKSCAN8 pseudogene 1)","no",-4.28858166859562,14.1330052641166,7.31552999741268e-06,"Down",-3.9347804759005,14.1330052641166,2.21029946654488e-05,"Down",0.353801192695116,14.1330052641166,0.736577341194393,"NS"
"A0AV96","RBM47_HUMAN","RBM47","RNA-binding protein 47 (RNA-binding motif protein 47)","yes",0.239061500442535,19.3435549445599,0.216133951196046,"NS",1.33454047948527,19.3435549445599,1.92865250874062e-06,"Up",1.09547897904273,19.3435549445599,9.14260873239178e-05,"Up"
"A0AVF1","IFT56_HUMAN","IFT56","Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)","yes",0.466470443060452,17.5236887185766,0.082011775374644,"NS",0.821233817421547,17.5236887185766,0.00481821262641769,"NS",0.354763374361095,17.5236887185766,0.284787957813529,"NS"
"A0AVI4","TM129_HUMAN","TMEM129","E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)","yes",5.1025599677271,16.2735545868316,0.0222536205801005,"Up",3.39638004653823,16.2735545868316,0.119791853802309,"NS",-1.70617992118887,16.2735545868316,0.56001981633834,"NS"
"A0AVK6","E2F8_HUMAN","E2F8","Transcription factor E2F8 (E2F-8)","no",-2.76571268441807,17.6141967254246,1.92926811955043e-12,"Down",-2.62644368218012,17.6141967254246,4.5599185077633e-12,"Down",0.139269002237949,17.6141967254246,0.480308820655063,"NS"
"A0AVT1","UBA6_HUMAN","UBA6","Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)","no",-0.564153387226668,19.5298163412146,3.08977498590109e-05,"NS",0.0107104769948592,19.5298163412146,0.925581804971229,"NS",0.574863864221527,19.5298163412146,0.000127375501129174,"NS"
"A0FGR8","ESYT2_HUMAN","ESYT2","Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)","no",-0.0439294540669373,19.7785044399301,0.785883042168183,"NS",-0.157612042812723,19.7785044399301,0.319584381376468,"NS",-0.113682588745785,19.7785044399301,0.598008123208221,"NS"
"A0JNW5","BLT3B_HUMAN","BLTP3B","Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)","no",0.510702993543884,20.1341465726275,4.89862611486607e-06,"NS",0.346819459580821,20.1341465726275,0.000339421012611974,"NS",-0.163883533963062,20.1341465726275,0.0921510693972787,"NS"
"A0MZ66","SHOT1_HUMAN","SHTN1","Shootin-1 (Shootin1)","no",0.0044218527755433,22.3818494018567,0.975154137331104,"NS",0.219016710454923,22.3818494018567,0.0892248576021494,"NS",0.21459485767938,22.3818494018567,0.16095105141685,"NS"
"A0PJW6","TM223_HUMAN","TMEM223","Transmembrane protein 223","no",0.685772939537381,16.6229411264346,0.775016722014833,"NS",3.35974794741222,16.6229411264346,0.151026961781263,"NS",2.67397500787484,16.6229411264346,0.365340770652458,"NS"
"A1A4S6","RHG10_HUMAN","ARHGAP10","Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)","no",0.41795579549099,18.5385618463893,0.00288377472252539,"NS",0.983271027556349,18.5385618463893,4.60293860152597e-07,"NS",0.565315232065359,18.5385618463893,0.000838670709360661,"NS"
"A1A4V9","CF119_HUMAN","CFAP119","Cilia- and flagella-associated protein 119 (Coiled-coil domain-containing protein 189)","yes",2.70757303329741,15.6089180544679,0.0404300963410862,"Up",3.57873855838708,15.6089180544679,0.00984639643693212,"Up",0.871165525089669,15.6089180544679,0.629195387728608,"NS"
"A1IGU5","ARH37_HUMAN","ARHGEF37","Rho guanine nucleotide exchange factor 37","yes",5.56814915844458,17.1956785191053,1.0699299029352e-11,"Up",5.27947007173577,17.1956785191053,2.55559487527624e-11,"Up",-0.288679086708811,17.1956785191053,0.524305747140079,"NS"
"A1L020","MEX3A_HUMAN","MEX3A","RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)","yes",-0.00517135962749293,20.8403499460538,0.967242896927319,"NS",1.56035538736001,20.8403499460538,1.98481900116353e-10,"Up",1.5655267469875,20.8403499460538,3.02971505130138e-09,"Up"
"A1L0T0","HACL2_HUMAN","ILVBL","2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)","no",0.566919252962638,18.1754176330619,0.299634396233286,"NS",0.744797881719116,18.1754176330619,0.179991167434162,"NS",0.177878628756478,18.1754176330619,0.843847776741409,"NS"
"A1L170","CA226_HUMAN","C1orf226","Uncharacterized protein C1orf226","no",0.351372536430851,19.1275804228041,0.546364352829917,"NS",0.226593202411294,19.1275804228041,0.705064363467288,"NS",-0.124779334019557,19.1275804228041,0.905575527154489,"NS"
"A1L390","PKHG3_HUMAN","PLEKHG3","Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)","no",0.642920014977044,19.5600580950504,0.000654311479596166,"NS",0.933412813937963,19.5600580950504,1.70774448734537e-05,"NS",0.290492798960919,19.5600580950504,0.141405728784772,"NS"
"A1X283","SPD2B_HUMAN","SH3PXD2B","SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)","no",0.0708922730488837,21.0194927661591,0.448891830690257,"NS",0.453542167568877,21.0194927661591,9.70832386879371e-05,"NS",0.382649894519993,21.0194927661591,0.00159012761872897,"NS"
"A1XBS5","CBAR1_HUMAN","CIBAR1","CBY1-interacting BAR domain-containing protein 1","no",0.0272630079271963,18.3627153349352,0.90620788769153,"NS",0.919035064910371,18.3627153349352,0.000379213117311426,"NS",0.891772056983175,18.3627153349352,0.00159185586829842,"NS"
